customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_clas
LW93867,Oregon,M,College,4812,16531,63,0,Corporate Auto,Four-Door Car,102,Four-Door Car
OU78470,Arizona,F,Master,29328,32006,94,0,Corporate Auto,Four-Door Car,56,Four-Door Car
XW90265,Arizona,F,Bachelor,5773,81676,72,0,Personal Auto,Two-Door Car,463,Two-Door Car
HS67749,California,M,College,6847,71038,86,0,Corporate Auto,Four-Door Car,205,Four-Door Car
VZ51506,Arizona,F,High School or Below,3595,0,103,0,Corporate Auto,Sports Car,741,Luxury
UI64281,Nevada,F,Master,22855,20832,65,0,Personal Auto,Two-Door Car,56,Two-Door Car
AE98193,Washington,M,High School or Below,7859,0,113,0,Personal Auto,SUV,813,SUV
AZ74055,Oregon,M,High School or Below,4115,52405,103,0,Personal Auto,Four-Door Car,494,Four-Door Car
XS76911,Arizona,F,High School or Below,5029,0,133,0,Personal Auto,Sports Car,795,Luxury
AY40674,Washington,F,Bachelor,4821,26583,1005,4,Personal Auto,SUV,614,SUV
NA12740,Oregon,M,Master,5004,25486,65,0,Special Auto,Two-Door Car,72,Two-Door Car
UA84837,Arizona,M,College,8630,24065,111,0,Corporate Auto,Four-Door Car,532,Four-Door Car
DJ51510,Arizona,F,High School or Below,9322,70435,116,0,Personal Auto,Four-Door Car,67,Four-Door Car
VM58985,California,M,College,16727,0,76,2,Personal Auto,Two-Door Car,402,Two-Door Car
OH60605,Oregon,F,High School or Below,3652,39679,92,0,Personal Auto,Two-Door Car,641,Two-Door Car
UO98052,Nevada,M,College,6158,0,89,0,Personal Auto,Four-Door Car,342,Four-Door Car
NC53424,California,M,Bachelor,4376,0,69,4,Personal Auto,Two-Door Car,331,Two-Door Car
LQ13873,Nevada,M,High School or Below,5569,53565,71,1,Personal Auto,Four-Door Car,340,Four-Door Car
LA97014,Washington,M,Bachelor,2576,37574,66,1,Personal Auto,Two-Door Car,412,Two-Door Car
NB79936,Washington,M,Bachelor,8346,48259,108,0,Personal Auto,Two-Door Car,73,Two-Door Car
NT89061,Arizona,F,High School or Below,6323,78532,78,0,Personal Auto,Four-Door Car,374,Four-Door Car
AF10970,Arizona,F,Bachelor,5973,96163,73,0,Corporate Auto,Four-Door Car,350,Four-Door Car
ZG48513,California,M,Bachelor,4706,0,72,0,Personal Auto,Four-Door Car,345,Four-Door Car
JQ59145,California,M,High School or Below,8093,0,114,1,Personal Auto,Sports Car,722,Luxury
FE84989,Washington,M,College,5035,72672,63,0,Personal Auto,Four-Door Car,259,Four-Door Car
JT52858,Oregon,F,Bachelor,9027,99002,112,1,Personal Auto,Four-Door Car,537,Four-Door Car
MC62068,California,M,High School or Below,7288,79494,91,0,Personal Auto,Four-Door Car,396,Four-Door Car
EU27538,Oregon,M,Master,18042,35704,225,0,Personal Auto,Luxury Car,358,"Luxury"""
RH42306,Arizona,F,Bachelor,4992,0,71,0,Corporate Auto,Four-Door Car,653,Four-Door Car
US23612,Oregon,F,High School or Below,9102,26049,118,0,Personal Auto,Two-Door Car,121,Two-Door Car
WV76014,Arizona,M,Doctor,2540,70125,64,0,Special Auto,Four-Door Car,92,Four-Door Car
RK96223,California,M,College,12941,52369,110,1,Personal Auto,SUV,528,SUV
MF82000,Washington,F,Bachelor,2365,0,66,2,Special Auto,Four-Door Car,159,Four-Door Car
FM46980,Arizona,M,College,5720,41770,72,0,Personal Auto,Four-Door Car,476,Four-Door Car
SY56792,Oregon,M,High School or Below,7035,0,101,0,Corporate Auto,Four-Door Car,727,Four-Door Car
RF61565,California,M,College,2636,31911,67,0,Personal Auto,Four-Door Car,321,Four-Door Car
IM94808,Nevada,M,Bachelor,5395,70051,68,0,Corporate Auto,Four-Door Car,42,Four-Door Car
VI14730,Oregon,M,High School or Below,8382,19683,117,1,Personal Auto,Sports Car,561,Luxury
YR34119,Washington,F,College,31161,30916,112,0,Personal Auto,SUV,200,SUV
RR77985,Oregon,F,Bachelor,2887,0,80,0,Personal Auto,Four-Door Car,676,Four-Door Car
QD28391,Washington,M,College,7425,84302,62,0,Personal Auto,Four-Door Car,76,Four-Door Car
WV17090,California,M,Bachelor,25585,0,116,0,Corporate Auto,SUV,830,SUV
TM23514,Oregon,M,College,10272,60145,132,0,Personal Auto,SUV,580,SUV
MQ68407,Oregon,F,Bachelor,4376,63774,111,0,Personal Auto,Four-Door Car,60,Four-Door Car
GJ59592,California,F,Bachelor,5318,25134,67,0,Corporate Auto,Four-Door Car,321,Four-Door Car
FY56083,Oregon,M,Bachelor,4719,37057,61,1,Personal Auto,Four-Door Car,47,Four-Door Car
UA94723,Oregon,F,High School or Below,4428,58577,110,0,Personal Auto,SUV,303,SUV
FW91032,California,M,High School or Below,5879,85857,73,0,Corporate Auto,Four-Door Car,100,Four-Door Car
DE34457,Oregon,F,Doctor,9416,70602,116,0,Personal Auto,SUV,481,SUV
HD32044,Oregon,F,Master,8288,33816,106,2,Corporate Auto,Four-Door Car,508,Four-Door Car
HH30454,Oregon,M,Bachelor,32654,0,153,0,Personal Auto,SUV,1101,SUV
AH84063,Oregon,F,College,4719,89642,121,4,Corporate Auto,SUV,86,SUV
QA17596,California,F,Bachelor,3903,60068,98,0,Personal Auto,Two-Door Car,470,Two-Door Car
XI41052,California,F,Bachelor,5457,50044,139,0,Personal Auto,SUV,667,SUV
DI30528,California,F,Master,2725,36650,69,1,Personal Auto,Four-Door Car,56,Four-Door Car
SC66359,Arizona,F,College,4433,50653,110,0,Corporate Auto,SUV,262,SUV
EN61670,Arizona,F,Doctor,5332,68931,66,0,Personal Auto,Four-Door Car,309,Four-Door Car
DQ10761,Oregon,M,Bachelor,2315,0,73,1,Corporate Auto,Four-Door Car,350,Four-Door Car
BQ51587,California,F,College,5411,0,73,0,Personal Auto,Four-Door Car,365,Four-Door Car
JE21522,California,M,Bachelor,9587,39266,80,0,Personal Auto,Four-Door Car,384,Four-Door Car
WS47147,California,M,College,22103,0,102,0,Personal Auto,SUV,489,SUV
ZA64638,Nevada,F,High School or Below,9764,0,98,1,Personal Auto,Four-Door Car,705,Four-Door Car
EW38459,Nevada,F,Bachelor,2567,40864,65,0,Corporate Auto,Four-Door Car,9,Four-Door Car
QW87316,Oregon,F,College,2650,39035,68,0,Personal Auto,Four-Door Car,244,Four-Door Car
IC43478,California,M,Bachelor,11264,34923,98,0,Personal Auto,Two-Door Car,639,Two-Door Car
TE34064,California,M,High School or Below,2168,0,63,0,Personal Auto,Four-Door Car,453,Four-Door Car
WU60905,California,F,High School or Below,8610,0,111,0,Corporate Auto,SUV,532,SUV
YM18992,California,F,College,2834,24506,71,0,Personal Auto,Two-Door Car,511,Two-Door Car
PD55753,Oregon,M,High School or Below,8930,0,82,0,Personal Auto,Four-Door Car,554,Four-Door Car
KU56006,Arizona,F,College,5536,52220,70,1,Personal Auto,Four-Door Car,336,Four-Door Car
MJ69973,Arizona,M,High School or Below,2840,0,74,0,Personal Auto,Two-Door Car,402,Two-Door Car
TW43626,California,M,College,8082,53554,67,0,Personal Auto,Four-Door Car,327,Four-Door Car
XX84133,California,M,Bachelor,5254,34476,67,1,Corporate Auto,Four-Door Car,5,Four-Door Car
ZW84453,Arizona,F,Bachelor,5116,0,70,0,Personal Auto,Four-Door Car,131,Four-Door Car
HO29524,California,M,College,3034,68205,76,0,Personal Auto,Two-Door Car,99,Two-Door Car
VE89726,California,F,High School or Below,8024,0,119,1,Personal Auto,SUV,856,SUV
GE87503,California,M,High School or Below,18211,53690,154,0,Personal Auto,SUV,739,SUV
PX90263,Oregon,M,High School or Below,5121,0,72,0,Personal Auto,Four-Door Car,518,Four-Door Car
NI17718,California,F,High School or Below,2150,0,61,0,Personal Auto,Four-Door Car,292,Four-Door Car
FY32213,California,F,High School or Below,5595,74454,71,0,Personal Auto,Four-Door Car,340,Four-Door Car
RZ13254,Nevada,F,Bachelor,7562,0,73,0,Personal Auto,Four-Door Car,350,Four-Door Car
GN45013,Oregon,M,High School or Below,5385,29664,71,0,Personal Auto,Four-Door Car,340,Four-Door Car
NM39588,Washington,F,Doctor,2678,72450,66,0,Corporate Auto,Four-Door Car,84,Four-Door Car
KU84464,Nevada,F,Bachelor,9422,47272,79,3,Personal Auto,Four-Door Car,64,Four-Door Car
YH43527,Oregon,F,College,3605,21585,92,0,Corporate Auto,Four-Door Car,441,Four-Door Car
RO30676,California,F,College,7762,23827,106,2,Personal Auto,Four-Door Car,37,Four-Door Car
QL59704,Arizona,F,College,23444,69906,74,2,Corporate Auto,Four-Door Car,202,Four-Door Car
QH19450,California,F,High School or Below,2558,0,72,0,Corporate Auto,Four-Door Car,345,Four-Door Car
SA54664,Washington,M,Master,2654,73196,66,1,Personal Auto,Four-Door Car,85,Four-Door Car
CI38330,Washington,M,Bachelor,2549,72217,6464,0,Personal Auto,Four-Door Car,91,Four-Door Car
WB38524,California,M,High School or Below,2969,46131,74,0,Personal Auto,Two-Door Car,355,Two-Door Car
CE56187,Oregon,F,Master,4363,54514,109,3,Personal Auto,SUV,286,SUV
JL19416,California,F,High School or Below,5884,0,161,0,Personal Auto,SUV,1159,SUV
JZ61422,Nevada,F,College,5272,96668,66,0,Personal Auto,Four-Door Car,316,Four-Door Car
LA13377,California,M,Doctor,5509,78879,69,1,Personal Auto,Four-Door Car,466,Four-Door Car
NC99948,Nevada,M,College,16313,0,69,0,Personal Auto,Four-Door Car,331,Four-Door Car
QD34785,Arizona,F,Bachelor,5678,0,76,0,Personal Auto,Four-Door Car,364,Four-Door Car
RO26085,California,F,Bachelor,12101,0,112,0,Personal Auto,Sports Car,1252,Luxury
ES57969,Oregon,M,Bachelor,2453,29735,69,0,Personal Auto,Four-Door Car,331,Four-Door Car
JK55587,California,M,High School or Below,5075,23082,65,0,Special Auto,Four-Door Car,312,Four-Door Car
RN97635,Arizona,M,Bachelor,3214,53984,80,0,Corporate Auto,Four-Door Car,421,Four-Door Car
BI76326,California,F,College,12275,52135,156,0,Personal Auto,SUV,430,SUV
JA34909,California,F,College,2722,17576,71,0,Corporate Auto,Four-Door Car,398,Four-Door Car
OJ90342,Oregon,F,Bachelor,2457,29486,62,0,Personal Auto,Four-Door Car,7,Four-Door Car
CM88932,Oregon,F,Master,3554,58557,88,0,Corporate Auto,Four-Door Car,55,Four-Door Car
JJ97525,California,M,Bachelor,4929,25632,63,0,Personal Auto,Two-Door Car,351,Two-Door Car
XV21647,California,F,High School or Below,8036,0,112,0,Personal Auto,Sports Car,806,Luxury
MC83487,Arizona,M,Bachelor,4276,18768,68,3,Corporate Auto,Four-Door Car,647,Four-Door Car
BL90769,California,F,Bachelor,33473,33190,106,0,Personal Auto,SUV,508,SUV
CR57148,Oregon,F,Master,5960,47945,74,0,Personal Auto,Two-Door Car,128,Two-Door Car
CP85232,Arizona,M,College,44795,58778,126,0,Special Auto,SUV,302,SUV
YL74732,California,F,High School or Below,3832,15192,100,0,Personal Auto,SUV,480,SUV
FG16766,California,F,Bachelor,6837,51859,171,0,Personal Auto,SUV,1003,SUV
NV55438,Nevada,F,High School or Below,5285,23422,72,0,Personal Auto,Two-Door Car,518,Two-Door Car
RM10880,California,F,College,3096,21604,79,0,Corporate Auto,Four-Door Car,379,Four-Door Car
GL56175,Arizona,M,College,3589,79298,90,0,Personal Auto,Four-Door Car,244,Four-Door Car
UK52289,Arizona,F,Bachelor,2582,76731,64,0,Special Auto,Four-Door Car,201,Four-Door Car
OT85112,Washington,M,College,3403,38460,88,1,Personal Auto,Four-Door Car,91,Four-Door Car
BC62782,Arizona,F,College,13575,48534,115,1,Personal Auto,SUV,552,SUV
TI19722,Washington,M,Doctor,3436,30817,88,0,Corporate Auto,Four-Door Car,91,Four-Door Car
JP30654,Oregon,F,College,28685,48412,104,0,Personal Auto,SUV,707,SUV
UM45563,Washington,M,Bachelor,4502,68798,114,0,Personal Auto,SUV,92,SUV
EN60878,Oregon,M,Bachelor,6183,23712,85,0,Personal Auto,Four-Door Car,376,Four-Door Car
JF36291,California,M,College,3873,28142,105,0,Personal Auto,Sports Car,701,Luxury
BK59444,California,F,Master,18929,72196,68,0,Personal Auto,Four-Door Car,152,Four-Door Car
MK70700,California,M,Master,5553,68197,69,0,Personal Auto,Four-Door Car,176,Four-Door Car
IW71076,California,M,Bachelor,5011,75248,63,0,Corporate Auto,Four-Door Car,104,Four-Door Car
AP98768,California,F,College,10442,0,98,0,Personal Auto,Four-Door Car,941,Four-Door Car
OM24164,Nevada,M,Bachelor,2199,0,65,1,Personal Auto,Two-Door Car,468,Two-Door Car
HR85211,Washington,F,Master,5123,89879,63,0,Personal Auto,Two-Door Car,94,Two-Door Car
VC87846,Oregon,M,High School or Below,7484,46998,96,0,Corporate Auto,Four-Door Car,460,Four-Door Car
ZM92052,Oregon,M,Bachelor,2613,57099,67,0,Personal Auto,Two-Door Car,67,Two-Door Car
ON73702,Arizona,F,Bachelor,9080,33897,114,0,Corporate Auto,SUV,539,SUV
QQ90441,Nevada,F,High School or Below,13770,59207,116,0,Personal Auto,Four-Door Car,556,Four-Door Car
HU35721,Oregon,M,High School or Below,2876,40171,73,0,Personal Auto,Four-Door Car,350,Four-Door Car
YP47665,Washington,M,Doctor,5408,80192,67,0,Personal Auto,Four-Door Car,95,Four-Door Car
FU99476,Washington,M,High School or Below,6770,74422,85,1,Personal Auto,Four-Door Car,95,Four-Door Car
AG85615,Oregon,M,College,24143,0,87,0,Special Auto,Four-Door Car,626,Four-Door Car
OY74069,Arizona,F,College,3538,0,67,5,Personal Auto,Four-Door Car,321,Four-Door Car
DJ91267,Nevada,F,Bachelor,29091,34226,244,0,Personal Auto,Luxury SUV,494,Luxury
KB72438,California,F,High School or Below,19834,65989,123,1,Personal Auto,SUV,115,SUV
TR67616,Oregon,M,High School or Below,4731,30686,61,0,Corporate Auto,Four-Door Car,19,Four-Door Car
GF65731,California,F,Master,35537,0,113,0,Personal Auto,Sports Car,799,Luxury
HB67642,Arizona,F,High School or Below,34611,20090,109,0,Personal Auto,Sports Car,523,Luxury
DP84567,California,M,High School or Below,20216,0,183,0,Personal Auto,Luxury SUV,878,Luxury
VV77534,Oregon,M,College,13976,77094,176,0,Personal Auto,SUV,444,SUV
GL67540,California,F,College,5904,97413,73,0,Personal Auto,Four-Door Car,268,Four-Door Car
SV50502,Oregon,F,Master,5595,79189,69,0,Corporate Auto,Four-Door Car,331,Four-Door Car
UK59698,California,F,High School or Below,2294,0,62,0,Personal Auto,Two-Door Car,297,Two-Door Car
OA57352,Arizona,F,College,6273,18577,86,0,Personal Auto,Four-Door Car,412,Four-Door Car
ZF84449,Oregon,F,College,3726,0,112,1,Special Auto,Sports Car,806,Luxury
AX86150,Washington,M,High School or Below,2656,62777,67,0,Personal Auto,Two-Door Car,101,Two-Door Car
HG39060,Oregon,M,Bachelor,5110,0,74,0,Corporate Auto,Four-Door Car,532,Four-Door Car
EM29359,Nevada,M,College,7126,17483,183,0,Personal Auto,Luxury Car,1317,"Luxury"""
SF57173,Oregon,M,Master,4601,84394,114,0,Personal Auto,SUV,691,SUV
OT47603,Oregon,M,College,9155,0,127,0,Personal Auto,Sports Car,804,Luxury
SW31412,Oregon,F,College,14808,41440,62,1,Personal Auto,Four-Door Car,297,Four-Door Car
JS36322,Arizona,M,High School or Below,8901,0,136,1,Personal Auto,Sports Car,1090,Luxury
RE81445,Oregon,F,College,5734,98132,71,0,Personal Auto,Two-Door Car,50,Two-Door Car
RM24280,Oregon,F,High School or Below,4177,0,112,0,Personal Auto,Four-Door Car,537,Four-Door Car
LC25393,California,M,Bachelor,27776,88220,230,0,Personal Auto,Luxury Car,151,"Luxury"""
UX38930,Arizona,F,Master,10364,58327,129,0,Personal Auto,SUV,347,SUV
HD95496,Oregon,M,Master,7851,25950,66,0,Personal Auto,Two-Door Car,271,Two-Door Car
RX24650,Oregon,M,High School or Below,4772,20993,133,0,Corporate Auto,SUV,638,SUV
DW19309,Oregon,M,High School or Below,14226,65726,177,0,Corporate Auto,SUV,849,SUV
MT41386,Washington,M,Bachelor,2875,84768,72,0,Personal Auto,Two-Door Car,110,Two-Door Car
WZ40465,Washington,F,Bachelor,5041,36234,63,0,Personal Auto,Four-Door Car,113,Four-Door Car
DB42794,California,M,College,4362,58842,110,0,Personal Auto,Four-Door Car,528,Four-Door Car
JB50798,Oregon,F,Master,9624,25629,124,2,Corporate Auto,Sports Car,595,Luxury
IP69763,Washington,F,College,21914,77311,181,0,Personal Auto,SUV,113,SUV
TE35785,California,M,Doctor,6948,0,196,2,Personal Auto,Luxury SUV,1337,Luxury
HX74855,Washington,M,High School or Below,2471,95697,61,0,Personal Auto,Two-Door Car,114,Two-Door Car
QN65180,Oregon,F,Bachelor,21903,22254,79,0,Personal Auto,Four-Door Car,125,Four-Door Car
GE47180,Nevada,M,High School or Below,9028,65974,113,0,Personal Auto,Sports Car,235,Luxury
VQ38776,Oregon,F,College,5303,0,76,0,Personal Auto,Four-Door Car,395,Four-Door Car
BH86846,Washington,M,High School or Below,20708,92079,65,1,Corporate Auto,Four-Door Car,114,Four-Door Car
IN17648,Nevada,M,High School or Below,5123,0,74,0,Personal Auto,Two-Door Car,772,Two-Door Car
DF95759,Oregon,M,College,9492,0,132,0,Personal Auto,SUV,633,SUV
QG45324,Oregon,F,High School or Below,8204,0,73,0,Personal Auto,Four-Door Car,350,Four-Door Car
MN61620,Arizona,F,College,9877,67752,131,4,Personal Auto,Sports Car,168,Luxury
YH86390,California,F,Bachelor,4815,25398,64,0,Corporate Auto,Four-Door Car,307,Four-Door Car
FY13480,California,M,High School or Below,6277,0,88,0,Personal Auto,Four-Door Car,633,Four-Door Car
YH61661,California,M,High School or Below,8260,33321,105,0,Special Auto,SUV,504,SUV
NL93182,Nevada,M,Bachelor,2549,0,78,0,Corporate Auto,Four-Door Car,845,Four-Door Car
LN31673,Washington,F,College,11318,38923,99,2,Personal Auto,Four-Door Car,115,Four-Door Car
WE68644,Oregon,F,Bachelor,3803,20325,100,0,Personal Auto,Sports Car,668,Luxury
EZ30498,Oregon,M,Bachelor,8635,13129,117,0,Personal Auto,SUV,700,SUV
QY74517,Oregon,F,High School or Below,5510,0,73,0,Personal Auto,Four-Door Car,525,Four-Door Car
NM88660,Nevada,M,Master,3585,49080,91,0,Corporate Auto,Four-Door Car,25,Four-Door Car
MZ82036,Nevada,M,College,4889,42536,63,0,Personal Auto,Four-Door Car,375,Four-Door Car
ID20929,Oregon,M,Bachelor,2756,29926,74,0,Corporate Auto,Four-Door Car,418,Four-Door Car
EY50028,Nevada,M,Doctor,3289,0,86,0,Corporate Auto,Two-Door Car,398,Two-Door Car
TT82373,California,F,Bachelor,10937,21450,138,0,Personal Auto,Sports Car,938,Luxury
OH64088,California,M,High School or Below,7375,33345,65,0,Corporate Auto,Four-Door Car,338,Four-Door Car
SK97780,California,F,Bachelor,10110,15752,90,0,Corporate Auto,Two-Door Car,339,Two-Door Car
IO33050,Oregon,F,High School or Below,5119,40169,65,1,Personal Auto,Four-Door Car,302,Four-Door Car
XA55917,California,F,College,8533,26049,113,1,Personal Auto,SUV,619,SUV
JK32620,Nevada,M,College,2224,0,68,0,Personal Auto,Four-Door Car,326,Four-Door Car
RQ19236,Arizona,M,Doctor,8042,55411,100,0,Personal Auto,Sports Car,259,Luxury
QC47433,Oregon,M,College,2554,12459,70,0,Personal Auto,Four-Door Car,336,Four-Door Car
RA93608,Oregon,M,Bachelor,18073,64620,76,1,Personal Auto,Two-Door Car,364,Two-Door Car
XH97711,California,M,Bachelor,2430,83140,61,0,Corporate Auto,Four-Door Car,179,Four-Door Car
AU96286,Oregon,F,Bachelor,3167,0,92,0,Corporate Auto,Four-Door Car,662,Four-Door Car
KC17170,Arizona,F,Bachelor,5465,54422,68,0,Corporate Auto,Four-Door Car,75,Four-Door Car
ZN47335,California,M,College,10357,68309,131,0,Corporate Auto,SUV,306,SUV
EI46264,California,M,High School or Below,2537,56621,65,2,Personal Auto,Four-Door Car,84,Four-Door Car
EK87864,Arizona,F,College,2821,38977,70,0,Special Auto,Four-Door Car,139,Four-Door Car
GV45403,Arizona,M,Bachelor,7757,0,111,0,Corporate Auto,Two-Door Car,607,Two-Door Car
QK31192,Arizona,M,High School or Below,4079,0,114,0,Corporate Auto,Two-Door Car,631,Two-Door Car
LU89008,Arizona,F,College,5955,0,83,0,Personal Auto,Four-Door Car,628,Four-Door Car
NS10490,Oregon,F,Bachelor,14158,83235,70,0,Personal Auto,Two-Door Car,336,Two-Door Car
KL98495,Nevada,M,College,8487,0,74,0,Personal Auto,Two-Door Car,426,Two-Door Car
IU96845,Arizona,M,College,6285,32390,80,0,Personal Auto,Four-Door Car,91,Four-Door Car
QL93655,Oregon,F,High School or Below,11473,66538,95,0,Personal Auto,Two-Door Car,317,Two-Door Car
PF40592,Washington,F,College,4942,23285,65,0,Personal Auto,Two-Door Car,118,Two-Door Car
LZ34046,Oregon,M,Bachelor,23594,76358,66,0,Personal Auto,Four-Door Car,86,Four-Door Car
JC80093,Washington,M,Master,2572,21104,66,0,Personal Auto,Four-Door Car,118,Four-Door Car
YE88490,Arizona,F,College,5380,55350,67,0,Personal Auto,Four-Door Car,321,Four-Door Car
YC80498,California,F,College,4770,12964,65,0,Personal Auto,Two-Door Car,362,Two-Door Car
AI85843,Arizona,F,Master,6756,33288,86,2,Personal Auto,Four-Door Car,221,Four-Door Car
XD66024,Arizona,F,College,5936,0,84,0,Personal Auto,Four-Door Car,980,Four-Door Car
FY51713,Arizona,F,Bachelor,3570,56168,88,0,Personal Auto,Four-Door Car,614,Four-Door Car
PH26378,California,M,College,6019,0,92,0,Personal Auto,Four-Door Car,662,Four-Door Car
WQ18638,Oregon,M,High School or Below,5426,23105,69,0,Personal Auto,Two-Door Car,331,Two-Door Car
KY14688,Oregon,F,Master,2730,36218,68,0,Personal Auto,Four-Door Car,145,Four-Door Car
TC97762,California,F,High School or Below,4982,52275,62,0,Corporate Auto,Four-Door Car,374,Four-Door Car
QC87108,Oregon,F,College,8769,49665,74,0,Personal Auto,Four-Door Car,355,Four-Door Car
CX12134,Nevada,M,High School or Below,4220,32471,110,0,Personal Auto,Two-Door Car,528,Two-Door Car
SM73248,Arizona,M,High School or Below,11537,0,86,1,Corporate Auto,Two-Door Car,619,Two-Door Car
CK19789,California,F,Master,5887,62773,73,0,Personal Auto,Four-Door Car,80,Four-Door Car
UV12583,California,F,College,4700,76694,117,0,Personal Auto,SUV,561,SUV
JC11405,Oregon,M,High School or Below,10963,55687,276,0,Personal Auto,Luxury SUV,1324,Luxury
KA89683,Arizona,F,High School or Below,2523,0,70,0,Personal Auto,Four-Door Car,504,Four-Door Car
BG85305,Nevada,M,Doctor,3757,36633,96,1,Personal Auto,Four-Door Car,460,Four-Door Car
UQ87917,Oregon,M,High School or Below,12941,77060,106,0,Personal Auto,SUV,468,SUV
XN11823,Nevada,F,Bachelor,3764,92600,94,0,Corporate Auto,Two-Door Car,842,Two-Door Car
OS46571,California,M,High School or Below,6889,0,66,0,Personal Auto,Four-Door Car,475,Four-Door Car
PX17116,Nevada,M,College,3623,0,111,2,Corporate Auto,SUV,1171,SUV
RP19541,Arizona,M,College,7582,64801,64,0,Personal Auto,Four-Door Car,268,Four-Door Car
ZR25747,Oregon,F,College,8277,45257,103,0,Corporate Auto,Two-Door Car,494,Two-Door Car
NQ86532,California,M,High School or Below,2576,26854,66,0,Personal Auto,Four-Door Car,475,Four-Door Car
JY27336,Oregon,F,College,8205,85840,102,2,Corporate Auto,SUV,138,SUV
PB54378,Oregon,F,Doctor,19582,26463,72,0,Corporate Auto,Four-Door Car,345,Four-Door Car
SV38190,Nevada,F,Bachelor,6481,30689,81,0,Personal Auto,Four-Door Car,467,Four-Door Car
CV24005,Oregon,M,High School or Below,2599,29590,66,0,Corporate Auto,Two-Door Car,467,Two-Door Car
EX28656,Oregon,F,College,9830,25965,253,0,Personal Auto,Luxury SUV,1214,Luxury
CF57022,Oregon,M,Bachelor,10442,17269,139,0,Personal Auto,SUV,667,SUV
GM16780,Oregon,M,College,36057,90330,137,3,Corporate Auto,Sports Car,192,Luxury
BX94438,California,F,High School or Below,8470,0,113,0,Corporate Auto,SUV,619,SUV
RM41745,California,F,High School or Below,8278,0,110,0,Personal Auto,Four-Door Car,1002,Four-Door Car
XR70252,California,F,High School or Below,4788,0,67,1,Personal Auto,Two-Door Car,321,Two-Door Car
YH92099,Arizona,F,Bachelor,3087,18558,80,0,Special Auto,Four-Door Car,384,Four-Door Car
SG81493,Arizona,M,Bachelor,4443,46384,113,0,Corporate Auto,Four-Door Car,251,Four-Door Car
ZX23819,Oregon,F,High School or Below,7984,0,72,0,Personal Auto,Two-Door Car,866,Two-Door Car
FJ54907,Oregon,F,College,7180,42303,180,0,Personal Auto,Luxury SUV,1210,Luxury
CU26127,California,F,Bachelor,15656,71731,130,0,Corporate Auto,SUV,599,SUV
YH60476,Oregon,M,High School or Below,5780,51066,74,0,Corporate Auto,Four-Door Car,787,Four-Door Car
ZZ97035,California,M,College,20714,0,203,0,Corporate Auto,Luxury Car,2027,"Luxury"""
GE82737,Nevada,F,Bachelor,5337,0,86,3,Personal Auto,Four-Door Car,619,Four-Door Car
KY21873,Arizona,M,College,5050,0,69,0,Personal Auto,Two-Door Car,72,Two-Door Car
UA51318,Arizona,F,High School or Below,5116,26173,68,1,Corporate Auto,Four-Door Car,449,Four-Door Car
BV55014,Oregon,M,Bachelor,7268,24445,63,0,Personal Auto,Two-Door Car,302,Two-Door Car
HX21307,Oregon,M,College,2616,72302,66,0,Personal Auto,Two-Door Car,316,Two-Door Car
LQ68252,Oregon,M,High School or Below,3738,27208,102,0,Personal Auto,SUV,489,SUV
CR92802,California,F,Master,2725,36650,69,1,Special Auto,Four-Door Car,56,Four-Door Car
SL35268,Arizona,M,College,5453,30855,68,0,Corporate Auto,Four-Door Car,259,Four-Door Car
RD62882,Arizona,F,Bachelor,6846,0,95,0,Personal Auto,Two-Door Car,456,Two-Door Car
JS42382,Oregon,M,Master,6172,99960,76,0,Corporate Auto,Four-Door Car,364,Four-Door Car
BT30554,Arizona,F,Bachelor,10346,0,98,0,Personal Auto,Four-Door Car,470,Four-Door Car
